WaterbodyName,Unique_ID,comid,drain_area
Bumpus Brook,03-BMP_7_22_2002,19335073.0,1.67
Newell Brook,05-NWL_7_24_2002,19334449.0,8.24
Appleby Brook,05-APL_8_2_2002,4594147.0,3.52
Clark Brook,04-CKB_7_26_2002,9326122.0,12.37
Grant Brook,08-GNB_7_25_2002,9326856.0,14.26
Mascoma River,21-MSC_8_5_2002,9327100.0,33.19
Taylor Brook,01-TAY_8_14_2002,6730913.0,5.53
Cold River,08W-CLD_7_17_2002,9330234.0,8.45
Souhegan River,19P-SHG_8_8_2002,6744646.0,31.66
Johnson Brook,03-JNS_7_30_2002,6729607.0,5.63
Dolf Brook,03-DLF_7_10_2002,6761230.0,6.39
Piscataquog River-North Branch,09L-PQG_7_10_2002,6740668.0,30.79
Purgatory Brook,01C-PRG_7_19_2002,6744242.0,11.71
Beaver Brook,04E-BVR_7_16_2002,6744730.0,53.1
Churchill Brook,01M-CHU_7_11_2002,5843462.0,8.52
Berry's River,06-BRY_7_11_2002,5848366.0,5.85
North River,12-NOR_7_11_2002,5847804.0,2.92
Island Pond Outlet Stream,03-IPO_8_21_2002,6744330.0,17.09
Swift River,05G-SWF_8_1_2002,9316629.0,45.5
Dan Hole River,06-DHR_7_12_2002,9316333.0,10.81
Peabody Brook,04-PBR_7_28_2003,19335027.0,2.11
Unnamed Brook,03-UBB_7_24_2003,19334307.0,1.59
Bog Brook,01-BBW_7_24_2003,4594133.0,12.68
Ammonoosuc River,15P-AMM_8_6_2003,4594161.0,125.06
Hewes Brook,01M-HEW_6_27_2003,9326910.0,11.66
Indian Stream,01M-INS_7_23_2003,4592305.0,71.13
Trask Brook,05-TRA_7_25_2003,9329724.0,4.42
Dodge Brook,06-DOB_8_4_2003,9330456.0,4.33
Mill Brook,09E-SBA_6_25_2003,6778237.0,17.98
Eastman Brook,06-EAS_6_24_2003,6729547.0,11.55
Hubbard Brook,01-HUB_6_24_2003,6729813.0,14.92
Ames Brook,01-AMA_7_7_2003,6730555.0,5.71
Smith Brook,09-SMB_6_30_2003,6730943.0,3.15
Tioga River,02-TGR_7_2_2003,6741330.0,23.78
Webster Stream,03-WBS_8_5_2003,6739988.0,11.94
Turkey River,12-TKR_9_9_2003,6740478.0,32.52
Riddle Brook,01M-RID_7_8_2003,6744032.0,8.79
Rocky Pond Brook,03-RPB_8_19_2003,6075251.0,2.32
Sanborn brook,03-SAN_8_11_2003,6740238.0,11.08
Sanborn Brook,01S-SAN_8_11_2003,6740238.0,11.08
Hartford Brook,01U-HAR_6_17_2003,5848410.0,11.31
Lamprey River,29-LMP_6_18_2003,5847822.0,4.84
Branch River,01G-BRA_7_17_2003,9329724.0,4.42
Winnicut River,13-WNC_7_11_2003,5845300.0,8.27
Cornelius Brook,04-COR_8_13_2003,5849402.0,1.3
East Branch Saco River,12-EBS_7_29_2003,9311629.0,13.68
Langdon Brook,04-LNG_7_29_2003,9311631.0,5.36
Paugus Brook,01M-PGS_7_10_2003,9315583.0,9.27
Poland Brook,02-PLD_7_15_2003,9316147.0,4.8
Nash Stream,01G-NAS_7_31_2002,4593003.0,44.27
Policy Brook,00P-POL_9_24_2003,6745480.0,9.0
Porcupine Brook,I93-POC-08_9_24_2003,6745456.0,2.32
Unnamed trib to Policy Brook,I93-POLU01-01_9_24_2003,6744694.0,5.22
Unnamed Trib to Policy Bk,I93-POL-04_10_3_2003,6745480.0,9.0
Blow-Me-Down Brook,02U-BMD_6_17_2004,9327632.0,26.01
Tully Brook,01-TYB_6_24_2004,9343719.0,6.0
Clay Brook,02-CLY_6_29_2004,9330312.0,34.61
Pauchaug Brook,01W-PAU_7_1_2004,6778463.0,6.27
Baker Brook,00C-BRK_7_13_2004,4594541.0,5.65
Mohawk River,09-MHK_8_2_2004,4592861.0,9.89
