EMDStationID_Current,CollDate,FishSampID,Lat_Dec_USGS,Long_Dec_USGS
07-FLT,2016-07-25,791,42.726617,-71.556219
07-FLT,2020-09-09,1024,42.726617,-71.556219
07-FLT,2024-08-23,1194,42.726617,-71.556219
01W-PAU,2004-07-01,301,42.73114,-72.428084
01W-PAU,2024-07-24,1179,42.73114,-72.428084
01-TYB,2015-07-31,776,42.736527,-72.232198
01-TYB,2018-06-06,933,42.736527,-72.232198
01-TYB,2022-06-21,1048,42.736527,-72.232198
19-SHG,2021-07-02,1034,42.776442,-71.806411
19-SHG,2022-08-15,1066,42.776442,-71.806411
19-SHG,2023-09-06,1126,42.776442,-71.806411
03-LLR,2004-07-06,310,42.82632,-71.10418
03-LLR,2017-08-01,892,42.82632,-71.10418
06-NUB,2009-07-15,667,42.911222,-71.995887
06-NUB,2009-08-20,668,42.911222,-71.995887
06-NUB,2014-06-17,738,42.911222,-71.995887
02T-PTB,2009-07-16,653,42.948549,-72.431389
02T-PTB,2009-09-02,654,42.948549,-72.431389
04D-SOP,2015-06-16,758,42.954536,-71.708657
04D-SOP,2015-07-07,759,42.954536,-71.708657
01T-SOP,2016-07-25,790,42.9822339,-71.6823485
01T-SOP,2020-09-02,1023,42.9822339,-71.6823485
01T-SOP,2024-08-23,1195,42.9822339,-71.6823485
15-EXT,2016-10-13,789,42.984705,-71.038343
15-EXT,2019-09-12,1012,42.984705,-71.038343
15-EXT,2024-08-21,1199,42.984705,-71.038343
00-MIP,2021-05-27,1040,43.001751,-71.66151
00-MIP,2024-08-22,1187,43.001751,-71.66151
06-MIP,2005-07-20,609,43.003471,-71.718446
06-MIP,2014-09-02,719,43.003471,-71.718446
01B-BKB,2019-09-04,989,43.008397,-71.481786
01B-BKB,2024-08-20,1184,43.008397,-71.481786
01AP-BKB,2016-06-22,903,43.009167,-71.480097
01AP-BKB,2024-08-20,1183,43.009167,-71.480097
01-BKB,2016-06-22,901,43.0104,-71.4781
01-BKB,2019-09-04,988,43.0104,-71.4781
01-BKB,2024-08-20,1182,43.0104,-71.4781
15A-LMP,2016-10-05,780,43.04113,-71.128779
15A-LMP,2017-10-04,888,43.04113,-71.128779
15A-LMP,2019-09-16,987,43.04113,-71.128779
02-MSR,2018-10-10,929,43.043306,-71.446909
02-MSR,2023-08-09,1124,43.043306,-71.446909
01-MMB,2006-06-26,611,43.06609,-71.37691
01-MMB,2017-09-05,863,43.06609,-71.37691
01-MMB,2024-08-13,1165,43.06609,-71.37691
01K-HOB,2017-09-28,898,43.069322,-70.778485
01K-HOB,2021-08-27,1031,43.069322,-70.778485
02-CLD,2014-09-08,721,43.13213,-72.39039
02-CLD,2018-09-07,931,43.13213,-72.39039
02-CLD,2022-08-25,1047,43.13213,-72.39039
01V-CLD,2021-08-26,1029,43.136879,-72.400318
01V-CLD,2022-08-25,1075,43.136879,-72.400318
01V-CLD,2023-09-13,1129,43.136879,-72.400318
04-BKC,2013-06-27,708,43.145148,-71.186065
04-BKC,2013-08-01,709,43.145148,-71.186065
02-BBO,2014-09-03,728,43.14523,-71.35522
02-BBO,2018-08-30,930,43.14523,-71.35522
02-BBO,2022-08-09,1044,43.14523,-71.35522
09-OYS,2016-08-11,788,43.14828,-70.96567
09-OYS,2020-08-21,1027,43.14828,-70.96567
07-BLM,2016-08-11,787,43.174438,-70.91779
07-BLM,2020-11-09,1028,43.174438,-70.91779
06M-CLD,2006-08-07,621,43.187091,-72.254947
06M-CLD,2019-07-23,977,43.187091,-72.254947
06M-CLD,2021-08-26,1030,43.187091,-72.254947
06M-CLD,2022-09-01,1074,43.187091,-72.254947
06M-CLD,2023-09-13,1128,43.187091,-72.254947
05-MLG,2017-06-15,845,43.207724,-71.009912
05-MLG,2024-09-20,1157,43.207724,-71.009912
02-MLG,2017-06-15,847,43.207836,-70.977289
02-MLG,2024-08-12,1156,43.207836,-70.977289
07T-ISG,2009-08-26,650,43.239021,-71.07706
07T-ISG,2016-08-11,783,43.239021,-71.07706
07T-ISG,2019-09-12,1013,43.239021,-71.07706
07T-ISG,2024-08-21,1198,43.239021,-71.07706
04-ISG,2019-07-25,979,43.246185,-71.003775
04-ISG,2021-07-08,1035,43.246185,-71.003775
04-ISG,2024-10-02,1190,43.246185,-71.003775
08T-ISG,2021-07-08,1036,43.251844,-71.100789
08T-ISG,2024-10-02,1191,43.251844,-71.100789
08W-CLD,2002-07-17,54,43.26379,-72.22734
08W-CLD,2019-07-22,976,43.26379,-72.22734
10-WNR,2015-07-13,779,43.267502,-71.918803
10-WNR,2022-08-30,1043,43.267502,-71.918803
01S-SAN,2003-08-11,90,43.284363,-71.358367
01S-SAN,2004-07-27,319,43.284363,-71.358367
01S-SAN,2007-07-16,642,43.284363,-71.358367
03-SAN,2003-08-11,89,43.292649,-71.36072
03-SAN,2004-08-05,318,43.292649,-71.36072
03-SAN,2007-07-17,640,43.292649,-71.36072
00R-LSG,2006-08-03,615,43.30566,-72.38526
00R-LSG,2022-08-04,1053,43.30566,-72.38526
08-BIG,2017-07-17,844,43.324363,-71.202226
08-BIG,2019-08-26,960,43.324363,-71.202226
04-SAN,2003-08-18,91,43.32655,-71.38782
04-SAN,2004-08-06,320,43.32655,-71.38782
04-SAN,2007-07-17,641,43.32655,-71.38782
