EMDStationID_Current,CollDate,FishSampID,Lat_Dec_USGS,Long_Dec_USGS,Keep,,,,,,
07-FLT,7/25/2016,791,42.726617,-71.556219,,,,,,,
07-FLT,9/9/2020,1024,42.726617,-71.556219,,,,,,,
07-FLT,8/23/2024,1194,42.726617,-71.556219,keep,,,,,,
01W-PAU,7/1/2004,301,42.73114,-72.428084,,,,,,,
01W-PAU,7/24/2024,1179,42.73114,-72.428084,keep,,,,,,
01-TYB,7/31/2015,776,42.736527,-72.232198,,,,,,,
01-TYB,6/6/2018,933,42.736527,-72.232198,,,,,,,
01-TYB,6/21/2022,1048,42.736527,-72.232198,keep,,,,,,
19-SHG,7/2/2021,1034,42.776442,-71.806411,,,,,,,
19-SHG,8/15/2022,1066,42.776442,-71.806411,,,,,,,
19-SHG,9/6/2023,1126,42.776442,-71.806411,keep,,,,,,
03-LLR,7/6/2004,310,42.82632,-71.10418,,,,,,,
03-LLR,8/1/2017,892,42.82632,-71.10418,keep,,,,,,
06-NUB,7/15/2009,667,42.911222,-71.995887,,,,,,,
06-NUB,8/20/2009,668,42.911222,-71.995887,,,,,,,
06-NUB,6/17/2014,738,42.911222,-71.995887,keep,,,,,,
02T-PTB,7/16/2009,653,42.948549,-72.431389,,,,,,,
02T-PTB,9/2/2009,654,42.948549,-72.431389,,should have a sample from 2016.  keep the one from 2016,,,,,
02T-PTB,6/14/2016,,,,keep
04D-SOP,6/16/2015,758,42.954536,-71.708657,,,,,,,
04D-SOP,7/7/2015,759,42.954536,-71.708657,keep,,,,,,
01T-SOP,7/25/2016,790,42.9822339,-71.6823485,,,,,,,
01T-SOP,9/2/2020,1023,42.9822339,-71.6823485,,,,,,,
01T-SOP,8/23/2024,1195,42.9822339,-71.6823485,keep,,,,,,
15-EXT,10/13/2016,789,42.984705,-71.038343,,,,,,,
15-EXT,9/12/2019,1012,42.984705,-71.038343,,,,,,,
15-EXT,8/21/2024,1199,42.984705,-71.038343,keep,,,,,,
00-MIP,5/27/2021,1040,43.001751,-71.66151,,,,,,,
00-MIP,8/22/2024,1187,43.001751,-71.66151,keep,,,,,,
06-MIP,7/20/2005,609,43.003471,-71.718446,,,,,,,
06-MIP,9/2/2014,719,43.003471,-71.718446,keep,,,,,,
01B-BKB,9/4/2019,989,43.008397,-71.481786,,,,,,,
01B-BKB,8/20/2024,1184,43.008397,-71.481786,keep,,,,,,
01AP-BKB,6/22/2016,903,43.009167,-71.480097,,,,,,,
01AP-BKB,8/20/2024,1183,43.009167,-71.480097,keep,,,,,,
01-BKB,6/22/2016,901,43.0104,-71.4781,drop,,,,,,
01-BKB,9/4/2019,988,43.0104,-71.4781,drop,,,,,,
01-BKB,8/20/2024,1182,43.0104,-71.4781,drop,too close to Merrimack,,,,,
15A-LMP,10/5/2016,780,43.04113,-71.128779,,,,,,,
15A-LMP,10/4/2017,888,43.04113,-71.128779,,,,,,,
15A-LMP,9/16/2019,987,43.04113,-71.128779,keep,,,,,,
02-MSR,10/10/2018,929,43.043306,-71.446909,,,,,,,
02-MSR,8/9/2023,1124,43.043306,-71.446909,keep,,,,,,
01-MMB,6/26/2006,611,43.06609,-71.37691,,,,,,,
01-MMB,9/5/2017,863,43.06609,-71.37691,,,,,,,
01-MMB,8/13/2024,1165,43.06609,-71.37691,keep,,,,,,
01K-HOB,9/28/2017,898,43.069322,-70.778485,,,,,,,
01K-HOB,8/27/2021,1031,43.069322,-70.778485,keep,,,,,,
02-CLD,9/8/2014,721,43.13213,-72.39039,,,,,,,
02-CLD,9/7/2018,931,43.13213,-72.39039,,,,,,,
02-CLD,8/25/2022,1047,43.13213,-72.39039,keep,,,,,,
01V-CLD,8/26/2021,1029,43.136879,-72.400318,,,,,,,
01V-CLD,8/25/2022,1075,43.136879,-72.400318,,,,,,,
01V-CLD,9/13/2023,1129,43.136879,-72.400318,keep,,,,,,
04-BKC,6/27/2013,708,43.145148,-71.186065,,,,,,,
04-BKC,8/1/2013,709,43.145148,-71.186065,keep,,,,,,
02-BBO,9/3/2014,728,43.14523,-71.35522,,,,,,,
02-BBO,8/30/2018,930,43.14523,-71.35522,,,,,,,
02-BBO,8/9/2022,1044,43.14523,-71.35522,keep,,,,,,
09-OYS,8/11/2016,788,43.14828,-70.96567,,,,,,,
09-OYS,8/21/2020,1027,43.14828,-70.96567,,,,,,,
07-BLM,8/11/2016,787,43.174438,-70.91779,,,,,,,
07-BLM,11/9/2020,1028,43.174438,-70.91779,keep,,,,,,
06M-CLD,8/7/2006,621,43.187091,-72.254947,,,,,,,
06M-CLD,7/23/2019,977,43.187091,-72.254947,,,,,,,
06M-CLD,8/26/2021,1030,43.187091,-72.254947,,,,,,,
06M-CLD,9/1/2022,1074,43.187091,-72.254947,,,,,,,
06M-CLD,9/13/2023,1128,43.187091,-72.254947,keep,,,,,,
05-MLG,6/15/2017,845,43.207724,-71.009912,,,,,,,
05-MLG,9/20/2024,1157,43.207724,-71.009912,keep,,,,,,
02-MLG,6/15/2017,847,43.207836,-70.977289,,,,,,,
02-MLG,8/12/2024,1156,43.207836,-70.977289,keep,,,,,,
07T-ISG,8/26/2009,650,43.239021,-71.07706,,,,,,,
07T-ISG,8/11/2016,783,43.239021,-71.07706,,,,,,,
07T-ISG,9/12/2019,1013,43.239021,-71.07706,,,,,,,
07T-ISG,8/21/2024,1198,43.239021,-71.07706,keep,,,,,,
04-ISG,7/25/2019,979,43.246185,-71.003775,,,,,,,
04-ISG,7/8/2021,1035,43.246185,-71.003775,,,,,,,
04-ISG,10/2/2024,1190,43.246185,-71.003775,keep,,,,,,
08T-ISG,7/8/2021,1036,43.251844,-71.100789,,,,,,,
