Unique_ID,latitude,longitude,watershed_area,cw_ind,ABL,AE,ATS,BBH,BC,BDK,BDS,BG,BND,BNM,BNS,BRB,BS,BT,CC,CCS,CLM,CS,CWS,ECP,FD,FF,FHM,GF,GS,GSF,LC,LMB,LND,LNS,MMG,MMT,MS,NP,NRD,NSS,PKS,RB,RBS,RFP,RSD,RT,SD,SL,SMB,STK,STS,TD,WP,YBH,YP
00-MIP_5_27_2021,43.001751,-71.66151,41.38814738506182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,0,9,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-MIP_8_22_2024,43.001751,-71.66151,41.38814738506182,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,12,8,0,0,43,0,0,0,0,0,0,16,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
00B-PDB_9_14_2023,43.867904,-71.398396,8.083093771999344,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00C-BRK_7_13_2004,44.305489,-71.756152,5.624182601047283,21,0,0,15,0,0,0,0,0,75,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00C-BRK_8_2_2022,44.305511,-71.756144,5.624182601047283,5,0,0,0,0,0,0,0,0,192,0,0,0,0,0,42,0,0,12,23,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00C-OVB_7_22_2024,44.0471,-72.06441,40.79532868207591,3,0,0,0,0,0,3,0,0,19,6,0,0,0,0,41,0,0,4,66,0,0,64,0,0,2,0,0,2,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,50,38,0,0,4
00C-WKR_6_22_2005,42.710469,-71.772352,5.274118596294728,25,0,0,0,4,0,0,0,0,167,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00D-BRB_6_30_2022,42.7893,-72.4387,14.64193845309968,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,55,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
00D-CORS_8_23_2019,44.801143,-71.193237,6.218612819148342,23,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
00E-PGS_7_22_2021,43.896393,-71.293472,12.025154220731478,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00E-PGS_9_7_2016,43.896393,-71.293472,12.025154220731478,27,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00F-GLF_8_24_2023,43.22491,-71.30869,4.662064009286147,14,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,7,0,2,0,4,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
00G-GRE_6_30_2015,43.039959,-72.456634,10.679238047090044,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
00L-OTT_7_20_2016,44.481117,-71.541219,24.918271138390693,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,7,0,0,69,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
00L-OTT_8_2_2005,44.481117,-71.541219,24.918271138390693,0,0,0,0,0,0,0,0,0,120,0,0,2,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
00P-POL_9_24_2003,42.75411,-71.22095,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
00R-LSG_8_3_2006,43.30566,-72.38526,29.86017399718006,34,0,0,3,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
00R-LSG_8_4_2022,43.30566,-72.38526,29.86017399718006,33,0,0,0,0,0,0,0,0,109,0,0,0,0,0,18,0,5,5,48,0,1,52,0,0,0,3,0,0,41,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,17,0,0,17,0,0,0
01-AMA_7_7_2003,43.692081,-71.630577,5.593092804464069,23,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-ATW_10_12_2023,43.70898,-71.87496,3.592550482546021,1,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BBK_6_23_2022,42.822007,-71.767163,16.124190108722573,11,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BBO_9_3_2014,43.153929,-71.375916,13.21049989879467,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BBW_7_24_2003,44.365013,-71.618118,12.489109696068343,18,0,0,0,0,0,0,0,0,204,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BEN_6_24_2005,43.14595,-71.15696,4.131180032793608,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,5,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BGK_8_5_2019,43.798226,-71.673926,10.068804047941532,5,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,1,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BIS_7_19_2023,44.71905,-71.59818,3.0116671748587467,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BKB_6_22_2016,43.0104,-71.4781,22.251453293280697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,3,0
01-BKB_8_20_2024,43.0104,-71.4781,22.251453293280697,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,114,0,0,0,0,0,4,3,0,0,8,0,0,0,0,11,0,13,0,0,0,0,1,26,0,107,2,0,5,0
01-BKB_9_4_2019,43.0104,-71.4781,22.251453293280697,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,112,0,0,0,0,0,5,0,0,0,13,0,0,0,0,2,0,2,0,0,0,0,0,23,0,0,1,0,2,0
01-BLA_6_15_2023,43.219191,-71.326387,3.3877438700606444,24,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BLD_9_3_2024,43.6054,-72.3143,27.636695883168965,15,0,0,0,0,0,0,0,0,274,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0
01-BNBK_9_22_2023,44.48614,-71.16289,3.326763462879776,5,0,0,0,0,0,0,0,0,15,0,0,0,0,1,2,0,0,9,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
01-BNB_8_30_2018,43.105765,-71.462559,6.347039204109717,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,23,1,0,72,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0
01-BRB_9_30_2024,42.7914,-72.4337,14.343859808713702,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-BRKT_8_27_2019,43.9031519,-71.98528329,4.271219650537299,6,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,32,40,0,0,194,0,0,0,0,0,3,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,14
01-BWB_8_20_2018,42.954938,-71.475301,6.284383691706784,11,0,2,0,2,0,0,0,0,32,0,0,0,0,0,17,0,0,29,23,0,0,4,0,0,0,0,0,6,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,9,2,4,2,0,6,0
01-CARR_8_28_2023,43.74523,-71.6201,2.5549522448695736,65,0,0,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-CBB_8_21_2018,42.8823,-71.4626,2.184182730764899,95,0,1,0,2,0,0,2,0,50,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,5,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0
01-CNB_8_21_2019,44.813132,-71.571901,7.173260087343573,21,0,0,0,0,0,0,0,0,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01-CNB_8_3_2004,44.813132,-71.571901,7.173260087343573,87,0,0,0,0,0,0,0,0,15,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01-CNY_7_19_2023,44.67796,-71.57874,3.3086796406176773,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-COO_7_25_2024,44.24712,-71.88966,3.871092195557953,52,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-CUB_7_11_2016,44.40461,-71.73102,8.289080071492842,33,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-CUB_8_22_2006,44.40461,-71.73102,8.289080071492842,6,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-DHR_9_25_2024,43.74642,-71.15056,14.102506010604186,6,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,1,0,17,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-DRB_8_15_2023,43.186702,-71.380449,4.472545372640252,14,0,1,0,0,0,0,4,0,78,0,0,0,0,0,0,0,0,90,9,0,0,67,0,0,2,0,0,4,7,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01-EBC_10_12_2023,43.71808,-71.83646,4.022206168469741,15,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-GLF_7_17_2017,43.226733,-71.308483,4.647018391610311,11,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
01-GRT_7_26_2019,43.0249,-71.935192,9.933635030564028,2,0,0,0,8,0,0,2,4,3,0,0,15,0,0,0,0,0,124,2,1,0,162,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,11,1
01-GSB_9_28_2015,43.090671,-72.217937,9.556355099705293,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,25,36,12,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
01-HCH_9_5_2023,44.336632,-71.711318,1.6466920902954192,43,0,0,0,0,0,0,0,0,314,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-HMP_7_18_2016,43.575664,-71.979565,4.433972747856269,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,74,0,0,21,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-HMP_7_6_2016,43.575664,-71.979565,4.433972747856269,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,59,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-HUB_6_24_2003,43.91998,-71.68272,14.90278168082342,18,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-HYW_7_6_2017,43.274392,-71.564221,15.039182934552311,1,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,98,37,0,0,238,0,0,8,0,0,1,3,0,0,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0
01-IND_7_25_2023,43.96039,-72.08806,10.921439611512412,14,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
01-LCK_9_8_2023,43.22369,-71.34013,3.677882630089836,15,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-LMB_7_31_2002,44.679237,-71.447302,2.185511236051897,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-MMB_6_26_2006,43.06609,-71.37691,2.3312670438367213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-MMB_8_13_2024,43.06609,-71.37691,2.3312670438367213,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
01-MMB_9_5_2017,43.06609,-71.37691,2.3312670438367213,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-MTNB_10_1_2024,43.4576,-71.79634,6.802062515227335,47,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
