Unique_ID,latitude,longitude,watershed_area,cw_ind,pct_imperviousness,pct_dev,ABL,AE,ATS,BBH,BC,BDK,BDS,BG,BND,BNM,BNS,BRB,BS,BT,CC,CCS,CLM,CS,CWS,ECP,FD,FF,FHM,GF,GS,GSF,LC,LMB,LND,LNS,MMG,MMT,MS,NP,NRD,NSS,PKS,RB,RBS,RFP,RSD,RT,SD,SL,SMB,STK,STS,TD,WP,YBH,YP
01-NIS_7_28_2016,42.7052,-71.621,48.21395962773698,1,1.942722002711043,9.48288293484844,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
00C-WKR_6_22_2005,42.710469,-71.772352,5.274118596294728,1,2.392650158061117,9.424394099051634,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-SKR_9_21_2017,42.71435,-71.557574,2.807421070690589,0,5.826732673267328,22.48762376237624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-FLT_7_25_2016,42.726617,-71.556219,5.2759412626012185,1,4.583525535420098,20.637012630422845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-RPB_8_19_2003,42.729624,-71.633225,2.1939153500509825,0,0.408615774469433,2.359835286664555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W-PAU_7_1_2004,42.73114,-72.428084,5.088377187526311,1,0.2660738714090287,2.325581395348837,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03E-PAU_9_30_2024,42.732649,-72.417818,4.823169200499546,1,0.2706799480294499,2.252057167605024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-X1PAU_7_24_2024,42.73362,-72.41615,1.0716528940824748,1,0.4908972691807542,4.096228868660598,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-TYB_6_24_2004,42.7365,-72.23223,5.313643323874547,1,0.2992208472467754,2.239245727754861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-TYB_6_21_2022,42.736527,-72.232198,5.309022514336868,1,0.36251829521375356,2.444459007798676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-WBI_6_26_2017,42.742626,-72.095649,1.7400913145655723,0,0.6917233106757298,5.717712914834067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
